attacker_id,n_positive,n_negative,n_total,positive_ratio,negative_ratio,intensity,longevity,similarity_median,log_affect_ratio,log_affect_ratio_z,intensity_scaled,longevity_scaled,similarity_scaled,saints_naive
ITA-2018-MACERATA,72,1169,1579,0.045598480050664976,0.74034198860038,0.01940400809452314,10.333539173220627,0.5110780000686646,-2.7872172628671334,0.290695461180083,0.15129306727851324,0.1033353917322063,0.6476067834143427,0.2622756898896775
USA-2018-PARKLAND,56,852,1201,0.0466278101582015,0.7094088259783514,0.07046601656294409,1.7638342655696606,0.5865573883056641,-2.7222147995189863,0.30584392359422524,0.5494235898466484,0.01763834265569661,0.7432496477592732,0.40075083483816293
CAN-2018-TORONTO,21,537,829,0.025331724969843185,0.6477683956574186,0.006755222524977293,0.8416960552754402,0.5761682391166687,-3.2414377251345767,0.18484190969942527,0.05267047565503678,0.008416960552754404,0.7300851533224297,0.14624185235060555
USA-2018-SANTAFE,0,115,205,0.0,0.5609756097560976,0.00353820465929872,1.4237586150827422,0.6104475259780884,-13.237434489796222,-2.1446695192806007,0.0275873846762372,0.014237586150827423,0.7735217690622561,-1.7486493006854344
BEL-2018-LIEGE,62,640,1083,0.057248384118190214,0.5909510618651893,0.0033045875450625575,99.99999999999999,0.48185276985168457,-2.3343180159053176,0.3962411107849135,0.025765871841910978,1.0,0.6105743591409065,0.6483852707466735
USA-2018-ANNAPOLIS,6,36,79,0.0759493670886076,0.45569620253164556,0.0018376391741433359,0.5318171912456519,0.6283441185951233,-1.7917484970901043,0.5226839183260797,0.014328074171736307,0.005318171912456519,0.7961992366449689,0.4264293136615103
RUS-2018-KERCH,2,29,53,0.03773584905660377,0.5471698113207547,0.0008483203257550051,4.96511730765918,0.6509852409362793,-2.6741239773621848,0.31705122212390885,0.006614354286649063,0.04965117307659181,0.8248886821117601,0.27937101899367583
USA-2018-PITTSBURGH,55,686,1046,0.052581261950286805,0.655831739961759,0.01563328033916269,1.1631611980059786,0.5723074674606323,-2.5235269492726182,0.3521470216088886,0.1218926998285673,0.011631611980059789,0.7251930196103015,0.3023947506631086
USA-2018-THOUSANDOAKS,0,26,40,0.0,0.65,0.0015202060723787003,0.2560294017293973,0.617739200592041,-13.384729180332174,-2.1789957273726848,0.011853048012823319,0.0025602940172939734,0.7827613331636486,-1.7370402112169234
AUS-2018-BOURKE2,0,10,11,0.0,0.9090909090909091,0.0003564427018356799,0.7915890577583362,0.6613508462905884,-13.720201478159344,-2.2571756798369886,0.002779184043165894,0.007915890577583363,0.8380233432412643,-1.9157065718278639
FRA-2018-STRASBOURG,1,24,47,0.02127659574468085,0.5106382978723404,0.0016292469699980131,2.78364671317104,0.6118241548538208,-3.178008789783827,0.19962367016877333,0.01270323998240328,0.027836467131710407,0.7752661489769631,0.16285415913807888
